	All non-resistance exons_X	All non-resistance exons_Y	All countries, resistance exons_X	All countries, resistance exons_Y	chromosome 1, non-resistance exons_X	chromosome 1, non-resistance exons_Y	chromosome 2, non-resistance exons_X	chromosome 2, non-resistance exons_Y	chromosome 3, non-resistance exons_X	chromosome 3, non-resistance exons_Y	cox1 gene_X	cox1 gene_Y
SRR11006580	12.845936	6.160985	9.88064	0.05337168	6.908572	7.200988	13.544738	10.379144	9.768681	6.9958763	0.08930576	-3.250076
SRR11006581	12.931359	5.0677795	11.11325	-0.18488175	7.9348483	6.984227	13.414882	9.150343	8.326625	5.4899178	0.2321563	-3.4475734
SRR11006582	13.331922	5.559545	10.677722	-0.7566347	6.701317	6.8343325	12.887386	10.980979	10.74147	4.525679	-13.337791	1.0083905
SRR11006583	13.10682	5.7513433	9.868111	-0.13104749	7.116865	6.7097397	12.814824	8.767569	10.338002	4.523464	-1.9236265	-6.036222
SRR11006584	12.442605	4.637181	9.18584	1.0564342	7.79434	6.7115455	13.597054	9.937733	9.537578	6.831043	-2.0189106	-6.1497345
SRR11006585	13.149774	5.6712184	9.613367	0.1007628	6.880596	7.4247346	13.706579	9.986168	10.481978	5.116308	-1.9222994	-6.026212
SRR11006586	5.835186	3.0713441	6.101208	5.7872376	10.637912	5.384697	12.266867	4.910605	11.412155	9.792652	-9.836837	1.7750479
SRR11006587	13.134341	5.179046	10.769005	-0.3824924	8.238831	6.309984	13.35122	10.31261	9.517311	4.8319006	-13.063716	0.81135076
SRR11006588	12.9064455	6.122824	11.221036	0.40848833	6.7558694	7.016453	12.531623	8.8519125	9.785763	6.7813435	0.2988613	-3.5782356
SRR11006589	13.347721	5.619125	10.723686	-0.48870966	7.012608	6.952044	13.505564	10.259253	8.282815	4.841178	-13.622829	0.7115943
SRR11006590	12.6665325	4.784713	9.92223	-0.2217348	8.136892	6.3597608	13.488927	10.470698	9.904306	6.092728	-2.045591	-6.262869
SRR11006591	13.78716	4.8527474	11.166928	-0.20157376	7.531017	5.9795785	13.186224	10.025238	10.154268	4.237065	-13.344253	0.7098123
SRR11006592	13.3160095	6.086795	10.615086	0.48221588	7.2274256	7.006899	13.237761	9.005033	10.306355	6.571558	0.50896543	-3.9877117
SRR11006593	13.624875	4.464338	10.974331	1.2132716	8.088267	6.089609	12.350459	9.059215	8.780088	5.5545425	-13.2122345	1.0788765
SRR11006594	12.673478	5.5886497	10.2352	0.27263004	7.157505	7.522979	12.685021	9.142869	10.794037	4.929435	-2.0426266	-6.192949
SRR11006595	12.742082	6.1688013	10.411213	-0.01769614	6.717567	6.8634586	13.358431	9.251058	9.714428	6.9644732	-13.991647	0.8800113
SRR11006596	13.657495	4.484227	10.210592	1.3420237	7.2707276	5.2001467	12.807913	9.858272	9.414597	6.8388915	-13.88819	1.1597673
SRR11006597	5.315697	3.7587748	6.8503733	5.446696	10.254428	5.6492734	13.543359	6.864484	12.052818	9.263602	-11.7674055	1.0028037
SRR11006598	2.710063	3.0396557	5.980509	8.685131	9.929911	8.53733	10.618848	4.664741	9.449032	11.4871435	-10.034528	0.65172255
SRR11006599	13.166754	5.689755	11.186455	0.7945515	6.5927186	6.775209	13.372399	9.154299	10.391082	5.100713	-13.2122345	1.0788765
SRR11006600	12.5573015	4.8852634	9.410566	-0.37052822	6.15617	6.225302	13.311239	9.968787	8.237968	5.5670643	0.2839111	-3.578204
SRR11006601	13.079305	5.9854794	11.205515	0.5362868	6.928947	7.0425982	12.94489	8.591575	9.308464	6.683957	-13.482622	1.1142459
SRR11006602	12.793768	6.044749	10.9463825	0.71279085	9.314209	5.1480145	12.659633	8.816128	10.811166	4.9383388	0.3573072	-3.6587281
SRR11006603	13.053642	4.679167	10.034326	-0.20450616	8.161236	6.9993954	12.069047	10.099727	9.380046	6.084663	-2.045591	-6.262869
SRR11006604	13.44706	5.0170527	10.330878	0.7487147	7.544585	6.298097	10.375577	7.901348	10.358487	5.198193	-14.299098	0.94937485
SRR11006605	12.8645	5.5831223	11.219087	0.19570775	6.5167522	6.0999784	12.634675	8.876355	10.130405	5.278442	0.3573072	-3.6587281
SRR11006606	13.277712	5.5175414	10.094035	0.984927	7.6979213	7.417333	13.23708	10.954686	9.842297	4.3655033	-2.045591	-6.262869
SRR11006607	13.338723	4.797779	9.585307	0.2578597	8.27872	6.9768486	12.817197	10.926363	8.570836	5.004687	-13.545753	0.9632556
SRR11006608	12.922733	5.6682396	10.7243395	-0.49423102	6.9660563	6.9827566	12.519149	9.130543	10.661947	4.5199556	0.48976275	-3.8868482
SRR11006609	5.6481624	4.182896	6.7681446	5.688011	10.3769655	5.729474	13.509457	4.8336077	11.457215	9.049288	-10.249215	2.5310445
SRR11006610	12.66291	5.6071725	11.236828	0.12364312	8.426925	6.7888703	12.9060545	8.618335	9.292706	6.63412	-2.045591	-6.262869
SRR11006611	13.082965	5.3580775	11.3564825	-0.25474325	9.262374	6.898973	12.572663	8.66374	9.063595	5.4963937	-2.045591	-6.262869
SRR11006612	12.35193	4.9109383	12.956009	0.31808132	7.7631993	6.461724	12.3633995	9.953859	9.053559	7.088964	-2.045591	-6.262869
SRR11006613	12.801559	5.2956934	12.927855	0.5239097	8.012823	7.3874226	14.05291	9.980752	9.0858345	6.9004545	-2.045591	-6.262869
SRR11006614	13.847007	5.691782	13.045721	0.2517788	7.47549	5.3790016	13.244838	10.533554	7.916434	5.32119	-14.199357	1.140514
SRR11006615	13.449104	5.2567143	12.951633	0.3362822	7.663207	5.5644007	13.478639	10.453758	9.78269	5.140154	-14.199357	1.140514
SRR11006616	13.431101	6.050191	12.907312	0.3113997	6.485059	6.258366	10.800971	6.545076	9.758354	6.320284	0.3573072	-3.6587281
SRR11006617	13.580718	4.676495	12.903466	0.31177014	7.6577806	6.300124	13.016523	10.314022	9.115621	5.33105	-1.8896149	-6.028988
SRR11006618	12.441947	6.123822	12.913774	0.39518633	6.3286176	6.3634977	13.317696	10.448051	10.320053	5.3131013	-13.8903055	0.89073455
SRR11006619	13.217047	5.426805	12.86968	0.36590216	6.382972	6.405252	12.741924	10.98424	10.380825	6.54407	-14.165305	1.1110549
SRR11006620	6.478399	3.2065163	6.3705893	6.4607854	10.184765	4.521796	13.483682	5.760774	11.026757	9.136011	17.46519	5.2046924
SRR11006621	13.595676	5.400774	12.9442	0.3505688	7.543305	6.318454	12.870407	9.718263	10.109636	5.3334155	-14.238666	1.1501577
SRR11006622	13.02566	4.741433	12.902816	0.30971754	7.7400584	6.403524	13.213106	10.366879	9.156556	5.4580836	-11.702684	-0.278579
SRR11006623	14.011639	5.1915846	12.941329	0.3315683	7.014947	5.7753563	12.079226	9.862866	9.862758	4.3982916	0.6872946	-3.8133826
SRR11006624	13.182464	4.9092727	12.888383	0.40189368	7.5409956	6.7414126	9.873622	7.4141893	9.971934	5.093155	-2.045591	-6.262869
SRR11006626	13.514944	4.7344637	13.017447	0.2876737	7.3023543	7.1350107	12.670704	11.051685	8.839722	5.093656	-13.236098	1.0817821
SRR11006627	12.228012	5.925291	12.929076	0.33252788	7.9372563	7.4901633	9.754907	7.567506	9.943353	6.5300756	0.2815651	-3.5571089
SRR11006628	12.254396	5.7390037	12.866562	0.28476787	6.682822	6.654829	13.264068	10.006959	8.4649315	5.476073	0.54356354	-3.8549588
SRR11006629	13.538152	4.8260827	12.9654665	0.42246908	8.59968	6.3840203	12.316789	10.0620165	9.222944	5.635389	-13.034903	0.94327176
SRR11006630	12.359197	6.0740557	12.876361	0.32148868	6.458441	6.3111935	11.7803135	9.919885	10.888282	5.3094487	-2.0551195	-6.142629
SRR11006631	6.3477097	3.0176575	5.9472	6.1551332	10.71148	5.508944	12.390678	4.937497	11.275125	8.896336	-8.975045	2.9927921
SRR11006632	12.710024	5.5295897	12.8764925	0.29210964	8.683884	6.211343	13.923667	10.455638	9.620181	5.7429233	-13.88819	1.1597673
SRR11006633	12.961915	6.2216587	12.816691	0.38712654	6.5713415	6.0715966	11.348385	9.493196	10.05454	6.757492	-1.9300065	-6.06913
SRR11006634	2.6652658	3.2084365	6.0025363	7.637883	9.827638	8.778125	10.425224	4.937476	10.226198	11.599433	-10.269187	1.4733907
SRR11006635	2.9670908	3.3491333	6.36518	6.8748612	9.401774	8.753341	10.411416	5.320544	9.672347	11.316463	-10.269187	1.4733907
SRR11006636	2.1944249	2.9836104	4.8332095	8.68886	9.999189	9.257296	11.831484	4.849079	10.230686	11.549587	-9.703266	2.091021
SRR11006637	3.3236032	3.3865776	11.94368	8.570239	9.039831	8.763342	10.061914	5.367767	10.611221	10.531195	-11.565841	2.0256782
SRR11006638	3.3557734	3.0192437	11.944002	8.570463	9.7160225	8.455465	10.238879	5.0983677	9.933567	11.332046	-11.565841	2.0256782
SRR11006639	3.244351	3.078203	11.970702	8.543481	9.024814	8.772693	12.484198	4.76689	10.333036	10.944298	-11.518056	2.0845351
SRR11006640	3.3590806	2.9475183	11.946059	8.569051	8.994032	8.803651	9.887694	5.3211217	9.582093	11.939643	-11.565841	2.0256782
SRR11006641	3.3047938	2.9944031	11.972164	8.542531	9.681727	8.515472	9.864806	5.248244	10.124281	11.158215	-11.565841	2.0256782
SRR11006642	5.6517544	3.8517232	6.280114	4.975674	10.035063	5.594032	13.666804	5.0348454	11.595864	9.486261	-9.525386	2.9898012
SRR11006643	3.366164	3.0170636	11.948172	8.566001	9.755007	8.494482	12.496681	4.775872	10.014327	11.3091955	-11.622247	1.9441446
SRR11006644	3.1878257	2.9347527	11.926769	8.590261	9.696419	8.631966	12.502114	4.775322	10.014356	11.297765	-11.476103	1.8893651
SRR11006645	6.2223544	3.2930057	7.0370345	5.427386	10.097654	4.849605	13.604782	5.8113084	10.739337	10.3137865	-11.53139	1.9061155
SRR11006646	3.344792	2.9400167	11.909237	8.607734	9.745477	8.497489	9.989501	5.084261	9.892085	11.501592	-11.5641985	2.018567
SRR11006647	3.2578166	3.0724616	11.956939	8.552756	9.83205	8.565453	10.1222105	5.066536	10.318373	10.938607	-11.565841	2.0256782
SRR11006648	3.664148	3.5600173	6.268439	6.45645	10.1999445	6.2099957	9.895107	5.6137857	11.126651	9.904582	-11.565841	2.0256782
SRR11006649	3.312518	3.0175588	11.955269	8.558352	9.723772	8.51719	10.087767	5.0360537	10.30486	10.945079	-11.565841	2.0256782
