	All non-resistance exons_X	All non-resistance exons_Y	All countries, resistance exons_X	All countries, resistance exons_Y	chromosome 1, non-resistance exons_X	chromosome 1, non-resistance exons_Y	chromosome 2, non-resistance exons_X	chromosome 2, non-resistance exons_Y	chromosome 3, non-resistance exons_X	chromosome 3, non-resistance exons_Y	cox1 gene_X	cox1 gene_Y
SRR11006482	9.84681	12.328223	9.242291	2.192869	12.663473	3.3572776	15.10333	7.727023	8.874297	9.298976	-16.448626	-4.1396503
SRR11006483	9.337376	12.086405	8.177652	2.1862893	11.77637	3.3721776	18.275179	8.041854	7.0526366	10.031317	-18.315588	-7.0140185
SRR11006484	9.495277	13.2891245	8.602368	1.818287	11.792132	4.5136213	19.011763	7.8111367	8.839677	9.543459	-18.556282	-6.9447803
SRR11006485	9.667269	12.276519	8.898642	0.751808	12.471382	4.9938846	18.387978	8.910963	8.7188015	9.433641	-5.9397855	-5.6102824
SRR11006486	10.101479	4.466828	10.74014	7.8543406	9.245835	5.0636077	16.35566	3.8923028	6.132569	13.22737	-18.582336	-2.1337192
SRR11006487	13.185615	2.3794727	12.506626	11.611731	11.893641	9.60426	14.345113	4.7205057	3.2418482	10.457263	-17.01894	-4.267698
SRR11006488	10.081463	13.512201	8.257458	2.2350652	11.631341	2.8849378	19.25455	8.833123	7.82791	8.33525	-18.556282	-6.9447803
SRR11006489	10.140696	12.98526	8.997839	2.0047574	11.8661375	3.3257189	18.416191	8.104276	9.27666	10.119488	-6.292176	-5.3619204
SRR11006490	9.0713215	11.949309	8.674965	1.8850518	11.833026	4.705811	18.597702	9.709914	8.7911	10.094378	-5.9397855	-5.6102824
SRR11006491	8.944505	12.660046	10.313516	2.2285528	12.996389	3.7904358	18.899971	9.079431	7.604437	8.466675	-15.982116	-3.8008769
SRR11006492	9.602333	12.481483	9.412155	1.8681583	12.884355	4.3221097	15.313995	6.9045663	9.109837	8.422439	-6.5404778	-5.321074
SRR11006493	10.048412	13.237188	8.772595	1.3565184	12.203659	3.2363172	17.864227	8.693163	8.209725	8.261156	-18.461235	-6.57094
SRR11006494	10.210148	13.131591	9.873687	1.7687523	11.676666	3.002757	18.41334	8.193656	8.615141	10.502563	-18.556282	-6.9447803
SRR11006495	9.53242	13.503915	9.423464	3.6536734	13.303501	4.0764103	18.94307	8.720231	7.9216795	8.787706	-6.0887012	-5.5259013
SRR11006496	10.114676	13.412409	9.643488	1.8675897	11.813055	3.7052805	18.20716	8.795391	7.775816	8.758068	-6.0887012	-5.5259013
SRR11006497	9.806836	12.763385	9.131368	2.0187397	12.608993	3.1122763	19.349472	7.9273844	9.605977	9.087909	-6.5404778	-5.321074
SRR11006498	10.576505	4.9410405	10.529057	7.254438	9.8344	5.4912257	15.648516	4.490275	5.6384873	12.735011	-17.670235	-2.4185383
SRR11006499	9.592066	12.103234	10.182234	2.911547	11.382721	2.945236	17.66802	8.8886	9.154022	8.466696	-6.5404778	-5.321074
SRR11006500	9.429827	13.196783	8.678458	1.7939825	12.05344	3.823019	19.07015	8.477975	7.5057817	9.680452	-6.5404778	-5.321074
SRR11006501	10.301879	11.935704	8.67748	2.3030684	12.714522	3.3434303	18.994488	8.61554	7.2719817	10.161828	-18.734735	-7.032456
SRR11006502	9.579247	13.23501	10.038622	2.8153937	11.554749	3.7559874	19.161636	8.023293	7.8856225	8.054217	-18.556282	-6.9447803
SRR11006503	10.283446	13.37639	8.991551	2.815623	11.459259	3.0314467	19.124096	9.014695	8.014426	9.103503	-5.9397855	-5.6102824
SRR11006504	9.187529	12.7972975	9.085928	2.5721128	12.218566	4.3212957	17.510303	7.9469366	8.127801	8.873531	-18.556282	-6.9447803
SRR11006505	9.163324	12.835837	8.497766	2.5610628	12.119421	4.299182	17.508606	8.03687	7.8014607	8.907966	-18.556282	-6.9447803
SRR11006506	9.796959	11.925195	8.52069	2.3474793	12.880196	4.3398924	18.619183	9.42652	8.133219	8.830875	-5.9397855	-5.6102824
SRR11006507	9.930475	13.454472	9.152575	1.8848586	12.360451	3.1634943	17.914433	6.9020596	8.166654	8.834947	-18.437517	-7.023913
SRR11006508	10.025331	11.268233	8.807915	1.294447	11.712092	4.877668	16.587984	8.358657	7.366206	9.343705	-18.475267	-7.1418705
SRR11006509	9.8854065	4.701506	10.035726	7.8010354	9.727261	5.4054165	15.76535	4.381337	6.1497507	13.23307	-18.56866	-2.166175
SRR11006510	9.373763	11.463856	8.961405	0.6895697	12.567726	2.9879415	18.73263	8.980121	9.186432	8.392279	-6.5404778	-5.321074
SRR11006511	9.237046	12.835606	8.813044	1.3814207	12.551587	5.0050673	19.053635	9.332178	8.526569	9.010811	-17.937284	-6.659387
SRR11006512	9.237416	12.224944	10.356146	2.3680143	12.09785	4.121491	17.306244	8.557989	9.539689	9.785608	-18.475267	-7.1418705
SRR11006513	9.362909	12.191846	9.20716	1.3601555	11.720604	5.0072227	19.241285	9.147662	8.828162	10.109726	-18.475267	-7.1418705
SRR11006514	9.889206	13.104534	9.446112	1.5233841	13.018705	4.5294905	18.455807	9.083609	9.609344	9.159717	-6.410878	-5.593301
SRR11006515	10.086229	12.911851	9.029522	1.9185168	11.709765	3.2367551	18.667671	8.927945	8.922196	10.196279	-6.131924	-5.7949367
SRR11006516	9.628374	13.099967	9.984993	3.218678	11.864468	4.001672	18.564075	9.061064	8.654605	10.420464	-5.9397855	-5.6102824
SRR11006517	9.637593	12.477975	8.390108	2.4226098	12.479796	3.012314	19.316477	8.242977	8.816608	8.772433	-5.9397855	-5.6102824
SRR11006519	9.812169	12.013636	9.011028	3.3123295	12.660709	4.3836293	17.65709	8.41099	7.61773	8.343384	-6.0890245	-5.6776915
SRR11006520	10.507069	4.1453485	9.720016	7.7532897	9.604568	5.7672706	14.706365	6.2870746	6.1749988	12.755598	-16.357786	-3.7893724
SRR11006521	9.013427	12.179202	10.039383	2.727008	13.172257	4.4794707	19.043991	8.5518875	6.6395264	10.127175	-18.556282	-6.9447803
SRR11006522	9.801354	12.618884	9.362342	2.4435616	11.98203	3.495986	19.286911	8.8117485	7.955766	10.052818	-18.403603	-6.604952
SRR11006523	9.6316395	13.188086	9.025437	2.4102256	10.515213	4.8474936	19.17366	7.9799376	9.567755	9.1206875	-6.528534	-5.825667
SRR11006524	9.34635	13.314841	10.127242	3.29917	11.496969	3.5085266	19.254923	8.641966	8.057009	9.969776	-6.6182723	-5.350004
SRR11006525	9.056659	12.998295	9.01244	2.0885737	12.2299185	5.102599	18.144522	8.806048	8.378593	10.613332	-5.9397855	-5.6102824
SRR11006526	9.591228	11.630022	10.598586	1.5789008	12.92684	4.5983295	18.076778	7.755271	9.115004	9.434301	-6.5404778	-5.321074
SRR11006527	9.312802	12.376386	9.366656	1.933003	12.907847	3.871435	17.635773	7.8023	7.7793913	8.107157	-6.5404778	-5.321074
SRR11006528	10.11558	13.453675	8.614544	2.1237462	11.629963	3.3162081	18.825794	8.309079	7.9483104	10.325988	-5.9397855	-5.6102824
SRR11006529	9.582351	12.097245	9.968345	1.7298214	12.218625	6.3257732	19.008432	9.195372	8.514986	9.943123	-5.9397855	-5.6102824
SRR11006530	9.095379	12.615651	9.290027	1.9466339	12.826002	4.6655965	19.13292	8.613242	7.731944	9.061158	-18.556282	-6.9447803
SRR11006531	10.213985	4.4192944	10.12607	8.148291	9.685507	5.186789	16.542542	4.07938	5.920266	13.211204	-16.950274	-2.0099883
SRR11006532	9.551447	13.0151205	8.594618	2.5782845	12.033761	3.6614828	17.140406	8.275555	8.63124	10.379622	-18.197628	-6.9008713
SRR11006533	9.954803	12.268237	8.968805	1.545947	12.28546	4.799249	17.685787	8.275509	9.202822	9.323792	-18.878633	-6.994426
SRR11006534	10.082335	12.690064	11.056115	1.4068927	11.113757	3.4675393	15.175117	7.905728	8.98242	9.672305	-6.451454	-5.6919994
SRR11006535	9.93335	13.371243	10.96946	1.426467	12.194215	3.1907866	18.491314	9.693247	8.789588	8.905729	-6.1694856	-5.682152
SRR11006536	9.174966	11.471507	10.76613	1.7576746	13.443759	3.6947937	15.186117	7.939192	7.7361093	8.883453	-5.9397855	-5.6102824
SRR11006537	9.312487	12.588	10.673494	1.4825797	12.537409	3.771985	18.987495	9.171459	7.448528	9.43702	-18.444557	-6.866399
SRR11006538	10.074936	12.498952	8.357414	2.3793223	12.675526	4.0048375	17.048418	8.836653	9.509127	9.936668	-18.732225	-6.925437
SRR11006539	8.502561	12.507233	10.735495	1.5152411	11.699308	5.5525174	18.042866	8.856842	6.8681016	9.902709	-6.0890245	-5.6776915
SRR11006540	8.693355	12.332705	8.599715	1.6241628	12.013019	5.279911	17.918915	7.935678	6.939884	9.998897	-18.291584	-6.295711
SRR11006541	9.2407875	12.534762	10.377089	1.777209	12.296924	3.435734	18.73833	7.9406567	9.547241	10.103873	-6.131924	-5.7949367
SRR11006542	10.494216	5.2499757	10.633543	7.95631	9.736047	4.763134	17.100224	4.5104666	5.006003	12.54761	-18.500933	-3.0669768
SRR11006543	8.939234	11.930946	11.131874	1.4202582	11.286373	3.3773973	17.002739	8.719554	7.1414685	10.024483	-18.987741	-6.9688435
SRR11006544	9.689042	11.77965	10.754089	1.6505597	12.777981	3.1037824	16.88935	8.670818	7.94093	10.240864	-18.556282	-6.9447803
SRR11006545	9.061987	11.633687	10.697287	1.6293552	12.973473	4.3728404	17.888058	8.908094	7.611288	8.629095	-6.5404778	-5.321074
SRR11006546	9.545277	11.829914	10.379415	1.7023405	13.43293	4.0893326	17.864635	8.055939	9.413283	8.89959	-6.5404778	-5.321074
SRR11006547	10.226002	13.113877	10.668364	1.544384	11.422109	4.0755787	15.030702	7.907907	7.8207674	9.642182	-5.9397855	-5.6102824
SRR11006548	9.863752	12.018558	10.716363	1.4818549	11.137823	4.356952	17.05427	8.7633095	9.2213745	10.212295	-19.525595	-1.798193
SRR11006549	9.098332	11.945528	10.826849	1.4244738	12.832681	4.5463037	17.28908	8.929268	9.436528	10.064722	-19.525595	-1.798193
SRR11006550	9.882118	12.690116	9.922976	1.928737	12.053125	3.2163465	18.337767	8.038271	8.114875	9.863193	-18.217834	-6.934603
SRR11006551	9.290198	13.037541	10.72434	1.6776986	11.3654585	5.245816	18.29664	9.176152	8.279967	8.170488	-19.013653	-6.9717875
SRR11006552	9.157703	11.473107	10.562832	1.6022145	12.545227	3.5496175	17.28116	9.138657	7.300173	9.87536	-6.435546	-5.403077
SRR11006553	10.282592	5.329416	10.005748	7.742271	8.994141	5.3276086	16.886936	4.799046	6.269587	12.158372	-18.275286	-2.7463229
SRR11006554	9.8823185	13.5886965	10.448799	1.6481551	11.244849	3.2016804	17.716358	7.7062683	7.0535645	9.216796	-6.4857497	-5.5526943
SRR11006555	9.6454	11.501142	10.1857	1.8067175	12.8254795	4.6455445	18.371696	7.5552273	7.176373	9.839682	-6.52964	-5.9834404
SRR11006556	9.204422	12.003668	10.495085	1.4379439	11.4375925	3.3971047	18.194738	9.229029	7.0403028	9.575432	-18.01155	-6.5561204
SRR11006557	9.914088	13.237404	8.535781	2.6393616	11.628805	3.661423	18.459837	9.314369	9.660203	10.071318	-6.1454005	-5.42867
SRR11006558	9.54295	13.128262	8.784738	1.6410371	11.977709	4.16362	19.23944	8.139412	8.239236	8.880359	-6.46597	-6.0244646
SRR11006559	9.912713	13.194299	9.270694	2.2898803	11.962275	3.437984	18.711601	7.909514	6.599738	9.323973	-6.8220634	-5.4458046
SRR11006560	10.18704	12.318356	10.631575	1.6998816	13.07315	4.286821	16.428057	8.340432	9.101342	9.089116	-18.732225	-6.925437
SRR11006561	9.077373	11.55393	9.706727	3.5392153	11.511619	6.529774	14.936631	7.837421	8.043853	8.226836	-6.5486774	-5.336847
SRR11006562	9.469917	11.932542	8.995332	2.4562294	13.531831	3.810479	17.683516	8.096082	9.317721	10.040956	-18.057434	-6.77742
SRR11006563	9.593571	11.566342	10.38479	1.5961425	11.439212	3.5617843	18.716085	7.5097585	8.922459	9.997543	-18.23706	-6.870116
SRR11006564	10.129347	4.5872483	10.559647	8.883904	9.500561	4.8019934	16.531828	3.9287796	6.1315007	13.1838875	-17.812546	-3.1946018
SRR11006565	8.623878	12.727662	9.854818	2.7474024	12.282417	4.4845395	18.707386	9.283063	7.1209717	9.9483385	-19.013653	-6.9717875
SRR11006566	9.79362	13.633299	10.518989	1.6767775	11.325623	3.2876916	19.325083	8.714225	7.2433352	9.151639	-6.5404778	-5.321074
SRR11006567	10.140476	12.958769	9.95707	2.352753	11.485365	3.3649771	17.969656	9.109017	9.575647	9.108927	-18.074726	-6.3400545
SRR11006568	9.219671	12.766269	10.383251	1.5303301	12.094817	4.387014	18.647888	8.604578	7.782847	9.371108	-6.3076715	-5.4546824
SRR11006569	9.486867	12.435618	9.606441	2.2012458	10.31578	5.793399	18.469975	7.7594695	8.245804	8.114813	-6.9830112	-5.4127407
SRR11006570	9.447652	12.760295	10.774041	1.5823039	12.882628	3.254804	15.231116	7.8221893	8.292973	10.083665	-7.0192575	-5.3799205
SRR11006571	9.051505	11.816208	8.895572	2.0971925	12.832979	4.294529	16.871796	8.642193	8.050377	8.238881	-18.975666	-6.9342346
SRR11006572	10.116014	12.987065	10.007151	2.7147896	11.474633	3.3550513	18.045275	7.7146325	9.031674	9.326407	-6.5404778	-5.321074
SRR11006573	8.9715605	12.025915	10.598325	1.9723698	11.295252	6.3711276	18.229609	9.456218	6.807845	9.910205	-5.9397855	-5.6102824
SRR11006574	9.164874	11.683301	9.49596	1.6908578	11.196886	6.369958	17.821173	9.447901	7.7773857	9.697462	-5.9397855	-5.6102824
SRR11006575	10.0320835	4.6249557	10.089689	8.138659	9.544798	4.593089	15.7758	4.449053	5.9198375	13.1421175	-17.46652	-3.0313728
SRR11006576	9.297848	11.609983	10.026823	2.7421951	13.51927	4.124173	17.792711	8.392056	9.012692	10.354382	-18.556282	-6.9447803
SRR11006577	9.303154	11.79206	9.558504	1.679656	13.373733	3.836156	18.298094	8.607195	9.474639	9.264757	-6.4857497	-5.5526943
SRR11006578	9.285308	12.317172	8.89894	1.7828897	13.019539	4.042831	19.098307	8.195038	7.5848374	10.13924	-18.400837	-6.9837623
SRR11006579	9.642782	12.806452	9.742151	0.8308591	12.047756	2.943138	16.825708	7.699677	9.161007	9.384359	-6.1454005	-5.42867
SRR11006580	9.236459	11.982098	8.67213	2.5217135	13.435788	3.9286945	19.301521	9.063493	7.0942526	9.99138	-6.866226	-6.0991993
SRR11006581	9.00542	12.627418	9.085449	2.1307926	12.566674	4.554691	18.220644	7.8145337	7.594901	8.238534	-6.467231	-5.9479628
SRR11006582	9.730485	12.470764	8.503688	1.5656506	13.177898	3.753853	19.290712	8.123582	9.443879	10.104794	-18.275352	-6.6299896
SRR11006583	9.716672	11.853447	8.288927	2.3435621	12.810932	4.0755897	17.916227	8.386245	9.097518	9.411944	-6.228183	-5.567283
SRR11006584	8.703081	12.905999	9.202932	2.7919567	12.488632	4.6060066	19.345722	8.745697	7.156205	9.640368	-5.978534	-5.759691
SRR11006585	9.439989	12.253553	8.350307	2.4575105	13.107049	3.9775429	19.021732	8.904333	9.20835	9.555829	-6.1541085	-5.652998
SRR11006586	10.425264	4.8672814	10.183912	8.268809	9.434563	5.339741	15.809608	4.4767284	5.200609	13.127771	-17.30126	-2.913136
SRR11006587	9.200423	12.568187	8.570219	2.2777953	11.858385	4.9326744	18.9926	8.756645	8.794788	8.569442	-18.157906	-6.683584
SRR11006588	9.635031	11.838372	9.936598	1.7244278	13.227474	3.7546468	17.69995	8.516545	7.0993204	10.160158	-6.410878	-5.593301
SRR11006589	9.593614	12.44137	8.5827265	1.8363217	12.983512	3.9632063	19.227455	8.655415	8.527651	8.089303	-18.437517	-7.023913
SRR11006590	8.997519	12.476035	8.426407	2.5120378	12.101967	4.6671247	19.193857	8.928256	7.7983704	9.72675	-5.9397855	-5.6102824
SRR11006591	9.945517	13.270326	9.263851	1.8797544	11.800465	4.052907	18.731638	9.173366	9.677074	10.009561	-18.197628	-6.9008713
SRR11006592	9.909456	11.947016	9.4552	2.5244641	12.966561	4.270358	18.018404	8.046599	7.6641927	10.250628	-6.5404778	-5.321074
SRR11006593	9.289132	13.262036	10.237954	2.2086296	12.083234	4.3119226	18.109097	8.384668	7.572845	8.72219	-18.057434	-6.77742
SRR11006594	9.609416	11.741256	8.682751	1.9909147	12.849413	4.1035566	18.092024	8.557825	9.232059	9.6495285	-6.0887012	-5.5259013
SRR11006595	9.212092	12.09649	9.982637	1.631988	13.155826	3.6236818	18.34148	7.9865184	7.0715313	9.967021	-18.878633	-6.994426
SRR11006596	9.350636	13.336039	9.7662735	2.360169	11.4158	3.5763922	18.371557	9.378196	7.224438	9.657254	-18.23706	-6.870116
SRR11006597	10.710664	4.347444	10.611061	7.666433	9.9618	5.67002	17.256422	5.005655	6.11176	12.818085	-17.80388	-4.3154793
SRR11006598	12.781868	2.7285938	12.527677	10.875255	10.972802	7.8067756	14.376236	5.2297544	3.0183237	11.421442	-16.269743	-4.9798055
SRR11006599	9.633245	12.227607	9.8350525	1.4009329	13.142565	3.4522781	18.355133	7.905035	9.077847	9.469542	-18.057434	-6.77742
SRR11006600	8.875484	13.034364	8.988455	2.8121493	12.639905	3.0449426	18.817654	8.772261	7.518177	8.262652	-6.425082	-5.7871056
SRR11006601	9.8845	11.840807	10.033484	1.7556998	13.250775	3.7756777	17.46745	8.237499	7.424737	9.611352	-18.326023	-6.7570844
SRR11006602	9.521224	12.009173	10.040123	1.984276	13.188582	3.7468889	17.588966	7.9130144	9.305653	9.824689	-6.5404778	-5.321074
SRR11006603	9.160658	12.984414	8.238414	2.3393025	12.309842	5.081054	17.529966	8.872492	9.133506	8.393825	-5.9397855	-5.6102824
SRR11006604	9.670135	13.040756	9.45629	2.5142076	12.017619	3.9785132	15.52591	7.8750515	9.27057	9.453952	-18.532757	-6.802776
SRR11006605	9.678758	12.214794	9.277585	2.1213553	12.513403	3.1941752	17.731962	8.3847275	9.101204	8.846452	-6.5404778	-5.321074
SRR11006606	9.663984	12.49499	9.526563	2.873686	12.987885	4.979053	18.951736	8.257675	9.568875	9.046803	-5.9397855	-5.6102824
SRR11006607	9.625432	13.210252	8.425789	2.8218925	11.75532	5.0127563	19.240713	8.0564575	8.120664	8.168064	-18.444557	-6.866399
SRR11006608	9.734117	11.993547	8.613804	1.8575591	13.127825	4.648773	17.742355	8.730687	9.284068	10.19526	-6.7478724	-5.2853127
SRR11006609	10.569735	4.285408	10.386961	7.465138	10.130615	5.3860316	16.474136	3.8878515	6.0342193	12.148983	-18.000872	-3.0201766
SRR11006610	9.594737	12.162981	9.4610815	1.8853407	11.514444	4.837759	17.650318	8.113151	7.7378287	9.923832	-5.9397855	-5.6102824
SRR11006611	9.86799	12.208971	9.413996	1.8059199	11.702256	5.714027	17.48285	8.140939	7.7382145	8.874361	-5.9397855	-5.6102824
SRR11006612	8.967959	12.184566	11.491011	1.2290062	12.331284	4.358391	17.889284	9.256517	6.8760495	9.305467	-5.9397855	-5.6102824
SRR11006613	9.148776	12.5330925	11.704323	1.1757095	12.762453	4.9753313	18.87614	9.560137	6.9713984	9.49394	-5.9397855	-5.6102824
SRR11006614	10.081655	12.0144205	11.588376	1.1872953	11.439424	3.8034644	18.855402	8.211939	8.494368	8.282112	-19.054323	-6.9430456
SRR11006615	9.6516	12.916127	11.473687	1.2374228	11.629155	3.726121	18.941038	8.843773	8.448597	9.721529	-19.054323	-6.9430456
SRR11006616	10.089032	12.388056	11.424286	1.2332519	12.643727	3.0597134	15.236706	6.7662845	7.7247777	9.769937	-6.5404778	-5.321074
SRR11006617	9.253695	13.207049	11.344237	1.2595338	12.211627	4.107438	19.319767	8.5748825	7.863496	8.9794035	-6.0428414	-5.684871
SRR11006618	9.502105	11.793613	11.453809	1.2759641	13.1850395	3.0739381	18.70443	9.069883	8.759609	9.6800375	-18.804995	-6.9149537
SRR11006619	9.557237	12.576205	11.502989	1.2974395	12.965306	3.2519882	19.327562	7.997847	7.8044305	10.27603	-19.0581	-6.967227
SRR11006620	10.541423	5.3555965	10.731265	8.7697935	9.625947	4.6352234	17.012728	4.775455	5.6520586	12.056201	12.145556	6.4602737
SRR11006621	9.637738	12.798336	11.527793	1.2181994	12.165105	4.125151	18.29745	9.153837	9.000728	9.250003	-19.013653	-6.9717875
SRR11006622	9.130771	13.155348	11.343178	1.1787229	12.148383	4.1694927	18.944073	8.819655	7.8612366	9.190053	-15.885724	-5.4526186
SRR11006623	10.117781	13.262607	11.509995	1.1507853	11.966183	3.4827945	17.541576	9.118999	9.516773	9.205658	-7.03065	-5.410117
SRR11006624	9.5120735	13.033262	11.565937	1.3305837	12.595413	4.6357026	14.790473	7.677906	9.058378	9.929496	-5.9397855	-5.6102824
SRR11006626	9.5106735	13.2023535	11.549384	1.1885396	12.85113	4.243516	19.425823	7.8734045	8.483981	8.67665	-18.243912	-6.5388722
SRR11006627	8.732046	11.742173	11.486613	1.1937184	12.951818	5.046747	14.911229	7.806869	7.6142173	10.091996	-6.6539836	-5.554398
SRR11006628	9.269087	11.7317295	11.27827	1.2470833	12.91585	3.4489536	18.658932	9.396832	7.9687285	8.425186	-6.958748	-5.3300986
SRR11006629	9.540998	12.960348	11.5920105	1.2297809	12.399718	4.956644	18.067816	9.294434	7.8291526	9.188691	-17.869848	-6.61916
SRR11006630	9.536271	11.623274	11.533089	1.2191771	13.034789	3.1340725	17.755993	9.557677	8.994016	10.120688	-5.9174547	-5.533614
SRR11006631	10.388899	5.298	10.44248	8.607129	9.397469	5.721991	15.726292	4.440448	5.8710465	12.199724	-17.124977	-1.7374003
SRR11006632	9.267099	11.970856	11.206835	1.2630768	12.336545	5.014753	18.90461	8.154536	8.078621	9.549582	-18.23706	-6.870116
SRR11006633	9.812304	11.604087	11.334717	1.3220747	12.84539	3.4540906	16.957539	8.613606	7.165881	10.347307	-6.0613194	-5.7098284
SRR11006634	12.830306	2.8078876	11.048525	9.204548	11.132492	7.085994	14.277746	5.425204	3.7294583	11.728368	-17.314741	-3.3441424
SRR11006635	12.5376	2.9659262	10.972919	9.090859	10.934587	7.121735	14.445044	5.780425	3.408146	11.401963	-17.314741	-3.3441424
SRR11006636	13.041958	2.5902162	12.351704	12.084004	10.765247	7.9217415	15.3705435	4.61464	3.6542056	11.706253	-16.719805	-2.82675
SRR11006637	12.481575	3.103719	12.169687	10.402875	10.627088	7.093751	14.321567	6.096185	4.0814276	12.23446	-18.425419	-3.2268088
SRR11006638	12.690795	3.380877	12.17088	10.401591	10.884735	6.7451677	14.212966	5.655809	3.3247972	11.927191	-18.425419	-3.2268088
SRR11006639	12.676485	3.3240893	12.172277	10.402398	10.640996	7.161037	15.712333	4.1628284	3.593933	12.132892	-18.270277	-3.352018
SRR11006640	12.728468	3.3173027	12.151073	10.377307	10.603434	7.1788774	14.286787	6.182213	2.6416683	11.17371	-18.425419	-3.2268088
SRR11006641	12.713218	3.3315594	12.176238	10.400783	10.908277	7.0204587	14.267289	6.138161	3.4394944	11.971616	-18.425419	-3.2268088
SRR11006642	10.427695	4.4320474	9.855946	7.6037726	10.093439	5.57264	16.733204	4.0902286	5.4787245	13.022093	-19.0823	-2.2303522
SRR11006643	12.721851	3.3579779	12.153283	10.378549	10.880702	6.8229885	15.663561	4.205813	3.302937	11.88966	-18.427864	-3.103741
SRR11006644	12.729993	3.2642636	12.146502	10.370051	10.950102	7.011939	15.68864	4.182994	3.2771776	11.902439	-18.240374	-3.2933407
SRR11006645	10.781594	5.0661063	10.7534275	7.620024	9.687077	4.8932753	16.868921	4.877653	4.3873515	12.239896	-18.339394	-3.2422478
SRR11006646	12.772059	3.3928883	12.124876	10.346347	10.872341	6.8919454	14.134385	5.879485	3.2126536	11.807346	-18.35995	-3.2324393
SRR11006647	12.657157	3.2658617	12.1457815	10.378789	11.004974	7.064889	14.327743	5.571921	3.5659025	12.059262	-18.425419	-3.2268088
SRR11006648	11.817457	3.5130014	10.753099	8.744102	10.255852	6.464978	14.379234	6.2679987	5.1310143	12.922466	-18.425419	-3.2268088
SRR11006649	12.71623	3.3041015	12.177983	10.416552	10.829317	6.837856	14.17782	5.5999064	3.5500503	12.059634	-18.425419	-3.2268088
SRR11006650	10.362922	4.775865	10.473808	7.7789707	9.210849	5.445666	15.667989	4.59928	5.0274796	12.732836	-16.631819	-2.267648
SRR11006651	9.745792	5.082343	10.242978	7.6295056	9.248364	5.176774	14.501315	6.289891	5.9247904	13.119521	-17.239157	-3.2246761
